effect,r_sim,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,var_o,var_r,z_sim_r,z_bare_r,replaced
Eyal2008_moral_distance,-0.0213516437398488,-0.3244723894445251,0.38,0.0316,58.0,116.0,moral_judgment,A0A1,-0.0213548893137781,-0.3366377158295063,0.4000596500560566,0.0316105244716431,0.0181818181818181,0.0088495575221238,-0.0213548893137781,-0.3366377158295063,False
FathKay2018_hierarchy_corruption,0.9587435,0.967884,0.2049390153191919,0.282842712474619,405.0,321.0,social_judgment,P2,1.9301248995486648,2.0576798922315587,0.2078827064739261,0.2907692890372516,0.0024875621890547,0.0031446540880503,2.342480730334812,1.0226804252143369,True
Fetherstonhaugh1997_psychophysical_numbing,0.1885685,0.0,0.7414562912379874,0.4919138057920608,162.0,1606.0,jdm_bias,P2,0.1908524745031487,0.0,0.953706112687206,0.5385819506774197,0.0062893081761006,0.0006238303181534,0.1908524745031487,0.0,False
Finucane2000_affect_heuristic,-0.7085950000000001,-0.726101,-0.75,-0.87,219.0,776.0,jdm_bias,P2,-0.8843563110909572,-0.9204304807191624,-0.9729550745276566,-1.3330796296965248,0.0046296296296296,0.001293661060802,-0.8843563110909572,-0.9204304807191624,False
Genschow2017_free_will_attribution,-0.4044466494243905,-0.572034339289009,0.0946,0.0688,504.0,2822.0,jdm_bias,A0A1,-0.4289538430174333,-0.6505414283513128,0.0948837218539798,0.0689088629026039,0.0019960079840319,0.0003547357218871,-0.4289538430174333,-0.6505414283513128,False
Glikson2017_smiley_competence,0.322011,0.428571,0.3387194682727416,0.1093404791528976,85.0,823.0,trait_inference,P2,0.3338891387415978,0.4581448409371956,0.3526453302526998,0.1097793659205434,0.0121951219512195,0.0012195121951219,0.3338891387415978,0.4581448409371956,False
Hoorens2015_more_less_asymmetry,0.3237744999999999,0.461817,0.6782329983125268,0.4819187497721559,320.0,433.0,jdm_bias,P2,0.3358579022357813,0.4996184052266664,0.8258345228925368,0.5254804479785135,0.0031545741324921,0.0023255813953488,1.2548769822177734,0.43229326302872884,True
Huang2019_anthropomorphism_holistic,0.0,0.0,0.6708203932499369,0.0499376169438922,101.0,584.0,social_judgment,P2,0.0,0.0,0.8122332596240808,0.0499791900693486,0.010204081632653,0.0017211703958691,0.0,0.0,False
Husnu2010_imagined_contact,0.1909458058047239,0.0873704056661037,0.395,0.0649,33.0,6335.0,social_imagery,A0A1,0.1933185806429903,0.0875937460489285,0.4177106181123123,0.0649913507899685,0.0333333333333333,0.0001579279848389,0.1933185806429903,0.0875937460489285,False
John2016_hiding_information,0.2235999999999999,-0.947018,0.1899761158124235,0.0194962936194799,142.0,1224.0,trait_inference,P2,0.2274423804909465,-1.8020510085479895,0.1923123906376008,0.0194987643989151,0.0071942446043165,0.0008190008190008,0.8365848280686787,-0.09671235144602656,True
