file,model,effect,variant,cond,n,arm_mean,arm_sd
_gpt_main.json,gpt-5.6-terra,Knobe2003_side_effect,A,help,30,35.9,33.05787853649011
_gpt_main.json,gpt-5.6-terra,Knobe2003_side_effect,B,harm,30,87.83333333333333,2.7938424357067015
_gpt_main.json,gpt-5.6-terra,Knobe2003_side_effect,B,help,30,67.83333333333333,20.723711593781225
_gpt_main.json,gpt-5.6-terra,Miyamoto2002_correspondence_bias,A,anti_essay,30,29.833333333333332,7.216108523451003
_gpt_main.json,gpt-5.6-terra,Miyamoto2002_correspondence_bias,A,pro_essay,30,65.26666666666667,5.6031737038535185
_gpt_main.json,gpt-5.6-terra,Miyamoto2002_correspondence_bias,B,anti_essay,30,29.666666666666668,5.467073155618909
_gpt_main.json,gpt-5.6-terra,Miyamoto2002_correspondence_bias,B,pro_essay,30,69.63333333333334,4.207004740773284
_gpt_main.json,gpt-5.6-terra,Rottenstreich2001_affective_lottery,A,certainty,30,27.5,5.123475382979799
_gpt_main.json,gpt-5.6-terra,Rottenstreich2001_affective_lottery,A,low_probability,30,36.1,5.923681287847955
_gpt_main.json,gpt-5.6-terra,Rottenstreich2001_affective_lottery,B,certainty,30,54.333333333333336,16.737847996548286
_gpt_main.json,gpt-5.6-terra,Rottenstreich2001_affective_lottery,B,low_probability,30,54.3,15.218738449687608
_gpt_main.json,gpt-5.6-terra,Tamir2012_selfdisclosure,A,,60,60.02166666666666,3.194544394571609
_gpt_main.json,gpt-5.6-terra,Tamir2012_selfdisclosure,B,,60,61.15999999999999,2.622527406911127
_gpt_main.json,gpt-5.6-terra,Valdesolo2007_hypocrisy,A,ingroup_actor,15,36.46666666666667,17.246706609926687
_gpt_main.json,gpt-5.6-terra,Valdesolo2007_hypocrisy,A,other_actor,15,5.0,0.0
_gpt_main.json,gpt-5.6-terra,Valdesolo2007_hypocrisy,A,outgroup_actor,15,4.6,1.019803902718557
_gpt_main.json,gpt-5.6-terra,Valdesolo2007_hypocrisy,A,self_actor,15,14.0,2.0
_gpt_main.json,gpt-5.6-terra,Valdesolo2007_hypocrisy,B,ingroup_actor,15,6.066666666666666,2.594010194445829
_gpt_main.json,gpt-5.6-terra,Valdesolo2007_hypocrisy,B,other_actor,15,3.6666666666666665,1.4452988925785866
_gpt_main.json,gpt-5.6-terra,Valdesolo2007_hypocrisy,B,outgroup_actor,15,5.2,0.7483314773547886
_gpt_main.json,gpt-5.6-terra,Valdesolo2007_hypocrisy,B,self_actor,15,18.466666666666665,3.2013885876114587
_gpt_main.json,gpt-5.6-terra,Weinstein1984_comparative_optimism,A,,60,23.869166666666665,2.5140785533117738
_gpt_main.json,gpt-5.6-terra,Weinstein1984_comparative_optimism,B,,60,29.748333333333335,2.222910379559993
