effect,model,r_sim,r_sim_all,variant_spread,refusal_rate,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,D_pub,var_o,var_r,z_sim_r,z_bare_r,replaced
Klink2000_soundsymbolism,sonnet45,0.993764945217404,0.993764945217404,,,0.9963611234667512,0.819,0.222,171.0,823.0,linguistic_intuition,A0A1,2.6466524123622457,2.6466524123622457,1.1537725736261482,0.2257588077765745,0.9280137658495736,0.0059523809523809,0.0012195121951219,1.2848149391834103,1.1815644611746572,True
Tamir2012_selfdisclosure,sonnet5,0.6938886664887108,0.6938886664887108,,,-0.9916316520429012,0.4853,0.0046,37.0,19.0,incentive,A0A1,0.8554166400029134,-2.6466524123622457,0.5298939221883892,0.0046000324457452,0.5252938897426439,0.0294117647058823,0.0625,-0.6953968466984973,-1.4949972815134935,True
Tamir2012_selfdisclosure,sonnet45,0.9505633016562604,0.9505633016562604,,,-0.98991067820108,0.4853,0.0046,37.0,19.0,incentive,A0A1,1.8375902263200536,-2.642183707225027,0.5298939221883892,0.0046000324457452,0.5252938897426439,0.0294117647058823,0.0625,-1.5871290833713194,-1.4429655941704216,True
Valdesolo2007_hypocrisy,sonnet5,0.8338417016381369,0.8338417016381369,,,0.0,0.4853,0.0,74.0,540.0,moral_judgment,A0A1,1.200613698681366,0.0,0.5298939221883892,0.0,0.5298939221883892,0.0140845070422535,0.0018621973929236,0.9957975276296902,1.3758983779921814,True
Valdesolo2007_hypocrisy,sonnet45,0.986039115331124,0.986039115331124,,,0.3082573996425541,0.4853,0.0,74.0,540.0,moral_judgment,A0A1,2.478819036461575,0.3186186898770544,0.5298939221883892,0.0,0.5298939221883892,0.0140845070422535,0.0018621973929236,1.1504092970108868,0.31508579904388667,True
Husnu2010_imagined_contact,sonnet5,0.719,0.719,,,0.5381791589471991,0.395,0.0649,33.0,6335.0,social_imagery,A0A1,0.9055716680245516,0.6015888028003696,0.4177106181123123,0.0649913507899685,0.3527192673223438,0.0333333333333333,0.0001579279848389,0.9055716680245516,0.6015888028003696,False
Husnu2010_imagined_contact,sonnet45,0.517,0.517,,,0.0,0.395,0.0649,33.0,6335.0,social_imagery,A0A1,0.5722366628479798,0.0,0.4177106181123123,0.0649913507899685,0.3527192673223438,0.0333333333333333,0.0001579279848389,0.5722366628479798,0.0,False
Tversky1973_availability_letters,sonnet5,-0.683,-0.683,,,-1.0,0.3794,0.045,152.0,3088.0,jdm_bias,A0A1,-0.8347157101567627,-2.6466524123622457,0.3993585744914555,0.0450304119590905,0.3543281625323649,0.0067114093959731,0.0003241491085899,-0.8347157101567627,-2.6466524123622457,False
Tversky1973_availability_letters,sonnet45,0.0,0.0,,,0.9700714025076448,0.3794,0.045,152.0,3088.0,jdm_bias,A0A1,0.0,2.0935053024150787,0.3993585744914555,0.0450304119590905,0.3543281625323649,0.0067114093959731,0.0003241491085899,0.0,2.0935053024150787,False
Eyal2008_moral_distance,sonnet5,-0.054,-0.054,,,-0.1796053020267749,0.38,0.0316,58.0,116.0,moral_judgment,A0A1,-0.0540525800247146,-0.1815748041270574,0.4000596500560566,0.0316105244716431,0.3684491255844134,0.0181818181818181,0.0088495575221238,-0.0540525800247146,-0.1815748041270574,False
Eyal2008_moral_distance,sonnet45,0.191,0.191,,,0.110463604950201,0.38,0.0316,58.0,116.0,moral_judgment,A0A1,0.1933748261484042,0.1109162233286132,0.4000596500560566,0.0316105244716431,0.3684491255844134,0.0181818181818181,0.0088495575221238,0.1933748261484042,0.1109162233286132,False
Rottenstreich2001_affective_lottery,sonnet5,0.952,0.952,,,0.2672612419124244,0.3748,-0.04,40.0,7218.0,jdm_bias,A0A1,1.852704378032573,0.2739120555164748,0.3939959732141787,-0.0400213538367682,0.4340173270509468,0.027027027027027,0.0001386001386001,1.4624390554976854,1.425880645055175,True
Rottenstreich2001_affective_lottery,sonnet45,0.0,0.0,,,0.0,0.3748,-0.04,40.0,7218.0,jdm_bias,A0A1,0.0,0.0,0.3939959732141787,-0.0400213538367682,0.4340173270509468,0.027027027027027,0.0001386001386001,0.0,0.0,True
Oppenheimer2009_retrospective_gambler,sonnet5,0.52,0.52,,,0.0,0.3261,0.01,80.0,5979.0,jdm_bias,A0A1,0.5763397549691928,0.0,0.338457925365691,0.0100003333533347,0.3284575920123562,0.0129870129870129,0.0001673360107095,0.5763397549691928,0.0,False
Oppenheimer2009_retrospective_gambler,sonnet45,0.636,0.636,,,-0.1827919249533804,0.3261,0.01,80.0,5979.0,jdm_bias,A0A1,0.7514278247629759,-0.1848696083206362,0.338457925365691,0.0100003333533347,0.3284575920123562,0.0129870129870129,0.0001673360107095,0.7514278247629759,-0.1848696083206362,False
Knobe2003_side_effect,sonnet5,1.0,1.0,,,1.0,0.6006,0.6585,78.0,7982.0,moral_judgment,A0A1,2.6466524123622457,2.6466524123622457,0.6940852084756155,0.7901605896881312,-0.0960753812125156,0.0133333333333333,0.000125328988595,2.6466524123622457,1.9798659728557906,True
Knobe2003_side_effect,sonnet45,0.232,0.232,,,0.9354143466934854,0.6006,0.6585,78.0,7982.0,moral_judgment,A0A1,0.2363022054728964,1.7000422070566703,0.6940852084756155,0.7901605896881312,-0.0960753812125156,0.0133333333333333,0.000125328988595,2.357052918355687,1.2668639332175737,True
Miyamoto2002_correspondence_bias,sonnet5,0.975,0.975,,,0.0,0.7742,0.673,58.0,7197.0,trait_inference,A0A1,2.1847239262335103,0.0,1.0307276221854624,0.8162067650447854,0.214520857140677,0.0181818181818181,0.0001390047261606,2.6466524123622457,0.34657359027997275,True
Miyamoto2002_correspondence_bias,sonnet45,0.457,0.457,,,0.0,0.7742,0.673,58.0,7197.0,trait_inference,A0A1,0.4935127431306347,0.0,1.0307276221854624,0.8162067650447854,0.214520857140677,0.0181818181818181,0.0001390047261606,2.6466524123622457,1.2350074592398035,True
Genschow2017_free_will_attribution,sonnet5,0.076,0.076,,,0.1338527549977061,0.0946,0.0688,504.0,2822.0,jdm_bias,A0A1,0.0761468345400227,0.1346608535979039,0.0948837218539798,0.0689088629026039,0.0259748589513758,0.0019960079840319,0.0003547357218871,0.0761468345400227,0.1346608535979039,False
Genschow2017_free_will_attribution,sonnet45,-0.066,-0.066,,,0.280384791752786,0.0946,0.0688,504.0,2822.0,jdm_bias,A0A1,-0.0660960832484736,0.288099647066957,0.0948837218539798,0.0689088629026039,0.0259748589513758,0.0019960079840319,0.0003547357218871,-0.0660960832484736,0.288099647066957,False
Chao2017_thankyou_gift,sonnet5,0.0,0.0,,,0.0,0.1015,0.0519,519.0,2441.0,incentive,A0A1,0.0,0.0,0.101850730009392,0.0519466749106575,0.0499040550987345,0.001937984496124,0.0004101722723543,0.0,0.0,False
Chao2017_thankyou_gift,sonnet45,-0.036,-0.036,,,0.1823665296949298,0.1015,0.0519,519.0,2441.0,incentive,A0A1,-0.0360155641044413,0.1844295434142999,0.101850730009392,0.0519466749106575,0.0499040550987345,0.001937984496124,0.0004101722723543,-0.0360155641044413,0.1844295434142999,False
