effect,model,r_sim,r_sim_all,variant_spread,refusal_rate,r_bare,r_o,r_r,n_o,n_r,paradigm_class,wave,z_sim,z_bare,z_o,z_r,D_pub,var_o,var_r
Kay2014_structure_goal_pursuit,sonnet45,0.609088,0.441054,0.377378,0.31868131868131866,,0.2425356250363329,-0.0099995000374968,67.0,6506.0,social_priming,P2,0.7074701835681266,,0.2474664615472634,-0.009999833340832813,0.2574662948880962,0.015625,0.00015377518068583732
KimMarkus1999_uniqueness_preference,sonnet5,-0.5709195,-0.409436,0.24795250000000005,0.0,-0.218218,0.2132595826717,0.014048649981898,76.0,31.0,jdm_bias,P2,-0.6488859243413589,-0.22178424244476846,0.2165837654023395,0.014049574326597196,0.2025341910757423,0.0136986301369863,0.03571428571428571
KimMarkus1999_uniqueness_preference,sonnet45,0.5,0.5501285,0.5657535,0.0,0.333333,0.2132595826717,0.014048649981898,76.0,31.0,jdm_bias,P2,0.5493061443340549,0.3465732152800195,0.2165837654023395,0.014049574326597196,0.2025341910757423,0.0136986301369863,0.03571428571428571
Kozak2006_action_identification,sonnet5,0.206519,0.45651,0.0,0.0,,0.3,0.08,50.0,1086.0,trait_inference,P2,0.20953251892112976,,0.30951960420311175,0.08017132503758968,0.22934827916552208,0.02127659574468085,0.0009233610341643582
Kozak2006_action_identification,sonnet45,0.641361,0.7576285,0.0,0.015228426395939087,,0.3,0.08,50.0,1086.0,trait_inference,P2,0.7604823715883658,,0.30951960420311175,0.08017132503758968,0.22934827916552208,0.02127659574468085,0.0009233610341643582
Kupor2015_god_risk,sonnet5,0.2129855,0.11066500000000001,0.5257935,,,0.2758634886606276,0.0698291276999138,61.0,556.0,social_priming,P2,0.21629664119750674,,0.28319927409372625,0.06994295901940176,0.2132563150743245,0.017241379310344827,0.0018083182640144665
Kupor2015_god_risk,sonnet45,0.21665,0.08725100000000001,0.0,,,0.2758634886606276,0.0698291276999138,61.0,556.0,social_priming,P2,0.2201384321724837,,0.28319927409372625,0.06994295901940176,0.2132563150743245,0.017241379310344827,0.0018083182640144665
McCullough2002_gratitude_agreeableness,sonnet5,0.081957,0.27046749999999997,0.22541199999999997,,0.616061,0.41,0.54,1228.0,1559.0,questionnaire,P2,0.08214124345733397,0.7186316500454862,0.4356112232362243,0.6041556029622671,-0.1685443797260428,0.0008163265306122449,0.0006426735218508997
McCullough2002_gratitude_agreeableness,sonnet45,-0.139583,0.3996905,0.12451650000000003,,0.0,0.41,0.54,1228.0,1559.0,questionnaire,P2,-0.1405002647736047,0.0,0.4356112232362243,0.6041556029622671,-0.1685443797260428,0.0008163265306122449,0.0006426735218508997
Mellers2001_conjunction_frequency,sonnet5,0.901224,0.900177,0.1720425,,0.613151,0.282945147243684,0.237962230135701,108.0,1032.0,jdm_bias,P2,1.4786992540004393,0.7139551260579647,0.2908806346845318,0.24261291139707472,0.04826772328745707,0.009523809523809525,0.0009718172983479105
Mellers2001_conjunction_frequency,sonnet45,0.87701,0.44380899999999995,0.15293600000000007,,-0.612531,0.282945147243684,0.237962230135701,108.0,1032.0,jdm_bias,P2,1.3626661564842517,-0.712962213849052,0.2908806346845318,0.24261291139707472,0.04826772328745707,0.009523809523809525,0.0009718172983479105
Park2019_scarcity_price_quality,sonnet5,0.0,0.0,0.0,,0.0,0.2236067977499789,0.0399680383488715,149.0,773.0,jdm_bias,P2,0.0,0.0,0.22744953600579132,0.03998934100602693,0.1874601949997644,0.00684931506849315,0.0012987012987012987
Park2019_scarcity_price_quality,sonnet45,0.0,0.0,0.0,,,0.2236067977499789,0.0399680383488715,149.0,773.0,jdm_bias,P2,0.0,,0.22744953600579132,0.03998934100602693,0.1874601949997644,0.00684931506849315,0.0012987012987012987
Paunonen2003_attractiveness_extraversion,sonnet5,0.717428,0.52278,0.24517700000000003,,0.075714,0.24,0.33,418.0,1550.0,questionnaire,P2,0.9023248582252035,0.07585917928787252,0.2447741126593529,0.3428282544153939,-0.09805414175604099,0.0024096385542168677,0.0006464124111182935
Paunonen2003_attractiveness_extraversion,sonnet45,0.0,0.1054675,0.16682600000000003,,0.064633,0.24,0.33,418.0,1550.0,questionnaire,P2,0.0,0.06472322608578022,0.2447741126593529,0.3428282544153939,-0.09805414175604099,0.0024096385542168677,0.0006464124111182935
Peters2006_numeracy_framing,sonnet5,0.032124,0.032124,0.1873455,,0.059358,0.3316624790355399,0.1,100.0,860.0,jdm_bias,P2,0.032135056982302915,0.059427861189396046,0.34469505401899686,0.10033534773107558,0.24435970628792128,0.010309278350515464,0.0011668611435239206
Peters2006_numeracy_framing,sonnet45,,0.058253,0.303828,,,0.3316624790355399,0.1,100.0,860.0,jdm_bias,P2,,,0.34469505401899686,0.10033534773107558,0.24435970628792128,0.010309278350515464,0.0011668611435239206
Reinhard2013_unconscious_lie_detection,sonnet5,0.0,0.0,0.0,,0.0,0.3464101615137754,0.0447213595499957,66.0,110.0,jdm_bias,P2,0.0,0.0,0.3613585967939576,0.044751209617973096,0.3166073871759845,0.015873015873015872,0.009345794392523364
Reinhard2013_unconscious_lie_detection,sonnet45,0.456418,0.0928475,0.5492655,,0.0,0.3464101615137754,0.0447213595499957,66.0,110.0,jdm_bias,P2,0.4927773531604483,0.0,0.3613585967939576,0.044751209617973096,0.3166073871759845,0.015873015873015872,0.009345794392523364
Scopelliti2015_bragging_emotion,sonnet5,0.487479,0.45805199999999996,0.8667199999999999,,,0.2252948577076705,-0.0290052304815362,154.0,124.0,introspective_recall,P2,0.5327481669451145,,0.22922714939175745,-0.029013368656230817,0.25824051804798825,0.006622516556291391,0.008264462809917356
Scopelliti2015_bragging_emotion,sonnet45,0.445638,0.445638,1.0951495,,,0.2252948577076705,-0.0290052304815362,154.0,124.0,introspective_recall,P2,0.479244061318753,,0.22922714939175745,-0.029013368656230817,0.25824051804798825,0.006622516556291391,0.008264462809917356
