effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,n_total
Slepian2012_secrets,A,sonnet45,demographic,0.6618179515205442,0.45260551479358196,0.8538850267021815,40,40
Slepian2012_secrets,B,sonnet5,none,0.12988588769361276,-0.2239015991934225,0.3420180955802897,40,40
Slepian2012_secrets,B,sonnet5,demographic,0.12832724067510853,-0.27810172577293246,0.3257994036161639,40,40
Slepian2012_secrets,B,sonnet45,none,,,,0,40
Slepian2012_secrets,B,sonnet45,demographic,,,,1,40
Slepian2012_secrets,frame_flip,sonnet5,none,0.19711047900874662,-0.10934400355436541,0.46491997877647134,40,40
Slepian2012_secrets,frame_flip,sonnet5,demographic,0.07083855601820675,-0.2120407862180128,0.39478807861104204,40,40
Slepian2012_secrets,frame_flip,sonnet45,none,,,,17,40
Slepian2012_secrets,frame_flip,sonnet45,demographic,-0.1850460090417814,-0.6146527291914976,0.12503802369793404,37,40
Slepian2012_secrets,deidentified,sonnet5,none,0.8608972036039905,0.7880159463270259,0.9307534609237713,40,40
Slepian2012_secrets,deidentified,sonnet5,demographic,0.4853638816850995,0.22704576322725997,0.7240105588266393,40,40
Slepian2012_secrets,deidentified,sonnet45,none,0.5005423913948733,0.27312127992747726,0.6823133609600542,40,40
Slepian2012_secrets,deidentified,sonnet45,demographic,-0.21523577714000022,-0.3417553024078395,0.1825710455088721,40,40
Tamir2012_selfdisclosure,A,sonnet5,none,0.918090359527253,0.8514642901320932,0.9705526657859531,40,40
Tamir2012_selfdisclosure,A,sonnet5,demographic,0.6938886664887108,0.5443310539518172,0.816496580927726,27,40
Tamir2012_selfdisclosure,A,sonnet45,none,,,,0,40
Tamir2012_selfdisclosure,A,sonnet45,demographic,,,,0,40
Tamir2012_selfdisclosure,B,sonnet5,none,,,,0,40
Tamir2012_selfdisclosure,B,sonnet5,demographic,0.0,0.0,0.0,16,40
Tamir2012_selfdisclosure,B,sonnet45,none,0.9740215340114143,0.9336995618478526,1.0,39,40
Tamir2012_selfdisclosure,B,sonnet45,demographic,0.9271050693011065,0.8719726050724371,0.9759000729485332,40,40
Tamir2012_selfdisclosure,frame_flip,sonnet5,none,0.158113883008419,0.0,0.2738612787525831,40,40
Tamir2012_selfdisclosure,frame_flip,sonnet5,demographic,0.0,0.0,0.0,40,40
Tamir2012_selfdisclosure,frame_flip,sonnet45,none,0.0,0.0,0.0,40,40
Tamir2012_selfdisclosure,frame_flip,sonnet45,demographic,0.560473402386419,0.4290581651605165,0.674199862463242,40,40
Tamir2012_selfdisclosure,deidentified,sonnet5,none,0.0,0.0,0.0,40,40
Tamir2012_selfdisclosure,deidentified,sonnet5,demographic,0.0,0.0,0.0,40,40
Tamir2012_selfdisclosure,deidentified,sonnet45,none,0.0,0.0,0.0,39,40
Tamir2012_selfdisclosure,deidentified,sonnet45,demographic,0.158113883008419,0.0,0.2738612787525831,40,40
Valdesolo2007_hypocrisy,A,sonnet5,none,0.8741913556616666,0.829544686709647,0.9397934234874104,60,60
Valdesolo2007_hypocrisy,A,sonnet5,demographic,0.9380831519639081,0.8978951620979785,0.9858435728856701,60,60
Valdesolo2007_hypocrisy,A,sonnet45,none,0.9720782306622476,0.9397934234874104,1.0,60,60
Valdesolo2007_hypocrisy,A,sonnet45,demographic,1.0,1.0,1.0,60,60
Valdesolo2007_hypocrisy,B,sonnet5,none,0.7706746355869353,0.685994340568434,0.8601653289114288,60,60
