effect,r_sim,r_bare,r_o,r_r,n_o,n_r,z_sim,z_bare,z_o,z_r,var_o,var_r,z_sim_r,z_bare_r,replaced
Hoorens2015_more_less_asymmetry,0.778715,0.81231,0.6782329983125268,0.4819187497721559,320.0,433.0,1.0420975045019023,1.1337829439898344,0.8258345228925368,0.5254804479785135,0.0031545741324921,0.0023255813953488,0.9789657891872257,0.774016600543592,True
Huang2019_anthropomorphism_holistic,0.0,0.0,0.6708203932499369,0.0499376169438922,101.0,584.0,0.0,0.0,0.8122332596240808,0.0499791900693486,0.010204081632653,0.0017211703958691,0.0,0.0,False
Husnu2010_imagined_contact,0.807946022663782,0.2951067521453517,0.395,0.0649,33.0,6335.0,1.1210851106540176,0.3041510174805499,0.4177106181123123,0.0649913507899685,0.0333333333333333,0.0001579279848389,1.1210851106540176,0.3041510174805499,False
John2016_hiding_information,0.6729565,0.228775,0.1899761158124235,0.0194962936194799,142.0,1224.0,0.8161272549402584,0.2328964286754984,0.1923123906376008,0.0194987643989151,0.0071942446043165,0.0008190008190008,1.3752489034165876,0.8128007696757981,True
KimMarkus1999_uniqueness_preference,-0.5560309999999999,-0.628587,0.2132595826717,0.014048649981898,76.0,31.0,-0.6270694436220842,-0.7390766978432661,0.2165837654023395,0.0140495743265971,0.0136986301369863,0.0357142857142857,-0.6270694436220842,-0.7390766978432661,False
Klink2000_soundsymbolism,0.8488453034476808,0.995057296642601,0.819,0.222,171.0,823.0,1.252006385016407,2.6466524123622457,1.1537725736261482,0.2257588077765745,0.0059523809523809,0.0012195121951219,1.5354971324431692,2.226663118828039,True
Knobe2003_side_effect,1.0,1.0,0.6006,0.6585,78.0,7982.0,2.6466524123622457,2.6466524123622457,0.6940852084756155,0.7901605896881312,0.0133333333333333,0.000125328988595,2.256320044815214,2.6466524123622457,True
Kozak2006_action_identification,0.3821485,0.934108,0.3,0.08,50.0,1086.0,0.4025731571003448,1.6896922395910878,0.3095196042031117,0.0801713250375896,0.0212765957446808,0.0009233610341643,0.4025731571003448,1.6896922395910878,False
McCullough2002_gratitude_agreeableness,0.1283915,0.157403,0.41,0.54,1228.0,1559.0,0.1291040455534335,0.1587225960113251,0.4356112232362243,0.6041556029622671,0.0008163265306122,0.0006426735218508,0.1291040455534335,0.1587225960113251,False
Mellers2001_conjunction_frequency,0.0203619999999999,-0.757365,0.282945147243684,0.237962230135701,108.0,1032.0,0.0203648148036216,-0.990006275285403,0.2908806346845318,0.2426129113970747,0.0095238095238095,0.0009718172983479,0.0203648148036216,-0.990006275285403,False
Miyamoto2002_correspondence_bias,0.902328971959998,0.3649324991288251,0.7742,0.673,58.0,7197.0,1.4846146070851238,0.3825644806904618,1.0307276221854624,0.8162067650447854,0.0181818181818181,0.0001390047261606,1.6444780763853932,0.6804977398243778,True
Oppenheimer2009_retrospective_gambler,0.8163494306159835,0.3362727110885676,0.3261,0.01,80.0,5979.0,1.145774542877362,0.3498840513453664,0.338457925365691,0.0100003333533347,0.0129870129870129,0.0001673360107095,1.145774542877362,0.3498840513453664,False
Park2019_scarcity_price_quality,0.0887379999999999,0.202829,0.2236067977499789,0.0399680383488715,149.0,773.0,0.088972027165762,0.2056811754382108,0.2274495360057913,0.0399893410060269,0.0068493150684931,0.0012987012987012,0.088972027165762,0.2056811754382108,False
Paunonen2003_attractiveness_extraversion,0.155321,0.069833,0.24,0.33,418.0,1550.0,0.1565884164467878,0.0699468502948157,0.2447741126593529,0.3428282544153939,0.0024096385542168,0.0006464124111182,0.1565884164467878,0.0699468502948157,False
Peters2006_numeracy_framing,-0.0306064999999999,-0.05717,0.3316624790355399,0.1,100.0,860.0,-0.0306160623347638,-0.057232407408486,0.3446950540189968,0.1003353477310755,0.0103092783505154,0.0011668611435239,-0.0306160623347638,-0.057232407408486,False
Reinhard2013_unconscious_lie_detection,-0.243944,0.0,0.3464101615137754,0.0447213595499957,66.0,110.0,-0.2489634043492209,0.0,0.3613585967939576,0.044751209617973,0.0158730158730158,0.0093457943925233,-0.2489634043492209,0.0,False
Rottenstreich2001_affective_lottery,0.0,0.0,0.3748,-0.04,40.0,7218.0,0.0,0.0,0.3939959732141787,-0.0400213538367682,0.027027027027027,0.0001386001386001,0.20418687390496768,-0.004176163251793383,True
Stevenson2000_web_brand_attitude,0.9207955,0.786781,0.42,0.54,30.0,95.0,1.594230793371174,1.0629255746834216,0.4476920235274206,0.6041556029622671,0.037037037037037,0.0108695652173913,1.594230793371174,1.0629255746834216,False
Tamir2012_selfdisclosure,0.2420624747233834,0.0,0.4853,0.0046,37.0,19.0,0.2469638005858822,0.0,0.5298939221883892,0.0046000324457452,0.0294117647058823,0.0625,-0.6834755668025441,-0.9624503965575988,True
Thoresen2003_commitment_negative_affect,-0.142776,0.089188,-0.19,-0.26,713.0,748.0,-0.1437582038725505,0.0894256170725905,-0.1923371692195453,-0.2661084068736541,0.0014084507042253,0.0013422818791946,-0.1437582038725505,0.0894256170725905,False
Tversky1973_availability_letters,0.5,-1.0,0.3794,0.045,152.0,3088.0,0.5493061443340549,-2.6466524123622457,0.3993585744914555,0.0450304119590905,0.0067114093959731,0.0003241491085899,0.5493061443340549,-2.6466524123622457,False
Valdesolo2007_hypocrisy,0.4927222548535021,0.0,0.4853,0.0,74.0,540.0,0.5396490371304438,0.0,0.5298939221883892,0.0,0.0140845070422535,0.0018621973929236,0.5050890550432202,0.15949300839146574,True
VanBoven2007_anticipation,0.3729349269914456,0.6885303726590963,0.44,0.01,36.0,246.0,0.3918278449661325,0.845155999333531,0.4722308044204257,0.0100003333533347,0.0303030303030303,0.0041152263374485,0.3918278449661325,0.845155999333531,False
Wakslak2006_construal,-0.0924567589683698,0.2094052169560912,0.6101,-0.0946,21.0,115.0,-0.0927215663856172,0.21254920469608,0.7090806359311705,-0.0948837218539798,0.0555555555555555,0.0089285714285714,-0.0927215663856172,0.21254920469608,False
Weinstein1984_comparative_optimism,-0.936705,-0.70438,-0.3511234415883917,-0.196116135138184,136.0,480.0,-1.7104685086763602,-0.8759409207191596,-0.3667246042301368,-0.1986901103492413,0.0075187969924812,0.0020964360587002,1.7837768687628093,1.0801212182069597,True
